7450-120329
OS REV: 1.05 Sensor Cal: 1630427533
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1653603540,+3.46,+16.923, +9.202,+0.986
1653603840,+3.46,+15.491, +9.434,+0.989
1653604140,+3.46,+15.302, +9.538,+0.990
1653604440,+3.46,+15.173, +9.456,+0.990
1653604740,+3.46,+15.165, +9.396,+0.990
1653605040,+3.46,+15.319, +9.394,+0.990
1653605340,+3.46,+15.456, +9.480,+0.990
1653605640,+3.45,+15.491, +9.412,+0.991
1653605940,+3.45,+15.551, +9.384,+0.990
1653606240,+3.45,+15.551, +9.359,+0.991
1653606540,+3.45,+15.551, +9.320,+0.990
1653606840,+3.45,+15.516, +9.325,+0.990
1653607140,+3.45,+15.525, +9.301,+0.990
1653607440,+3.45,+15.585, +9.273,+0.990
1653607740,+3.46,+15.713, +9.222,+0.990
1653608040,+3.46,+15.739, +9.228,+0.990
1653608340,+3.46,+15.713, +9.205,+0.991
1653608640,+3.45,+15.688, +9.209,+0.990
1653608940,+3.45,+15.679, +9.221,+0.990
1653609240,+3.45,+15.670, +9.264,+0.990
1653609540,+3.45,+15.653, +9.302,+0.991
1653609840,+3.45,+15.662, +9.381,+0.991
1653610140,+3.45,+15.653, +9.364,+0.990
1653610440,+3.45,+15.679, +9.336,+0.991
1653610740,+3.45,+15.679, +9.281,+0.990
1653611040,+3.45,+15.688, +9.265,+0.990
1653611340,+3.45,+15.662, +9.411,+0.990
1653611640,+3.45,+15.670, +9.333,+0.990
1653611940,+3.45,+15.645, +9.370,+0.991
1653612240,+3.45,+15.533, +9.322,+0.990
1653612540,+3.45,+15.533, +9.314,+0.991
1653612840,+3.45,+15.559, +9.267,+0.990
1653613140,+3.45,+15.559, +9.261,+0.990
1653613440,+3.45,+15.551, +9.268,+0.991
1653613740,+3.45,+15.525, +9.290,+0.990
1653614040,+3.45,+15.482, +9.276,+0.990
1653614340,+3.45,+15.499, +9.269,+0.990
1653614640,+3.45,+15.448, +9.293,+0.991
1653614940,+3.45,+15.448, +9.299,+0.990
1653615240,+3.45,+15.414, +9.301,+0.991
1653615540,+3.45,+15.371, +9.268,+0.990
1653615840,+3.45,+15.311, +9.259,+0.990
1653616140,+3.45,+15.242, +9.288,+0.990
1653616440,+3.45,+15.268, +9.280,+0.991
1653616740,+3.45,+15.216, +9.291,+0.991
1653617040,+3.46,+15.199, +9.281,+0.990
1653617340,+3.46,+15.208, +9.284,+0.991
1653617640,+3.46,+15.208, +9.278,+0.991
1653617940,+3.45,+15.190, +9.282,+0.991
1653618240,+3.45,+15.173, +9.282,+0.991
1653618540,+3.45,+15.130, +9.287,+0.990
1653618840,+3.46,+15.130, +9.292,+0.991
1653619140,+3.45,+15.147, +9.282,+0.990
1653619440,+3.46,+15.139, +9.281,+0.990
1653619740,+3.45,+15.139, +9.282,+0.991
1653620040,+3.46,+15.104, +9.282,+0.990
1653620340,+3.46,+15.087, +9.279,+0.990
1653620640,+3.46,+15.070, +9.298,+0.991
1653620940,+3.46,+15.010, +9.302,+0.990
1653621240,+3.46,+15.018, +9.296,+0.990
1653621540,+3.46,+15.010, +9.291,+0.990
1653621840,+3.46,+14.975, +9.300,+0.990
1653622140,+3.46,+14.950, +9.306,+0.991
1653622440,+3.46,+14.941, +9.306,+0.991
1653622740,+3.46,+14.906, +9.311,+0.991
1653623040,+3.46,+14.863, +9.319,+0.991
1653623340,+3.46,+14.855, +9.313,+0.991
1653623640,+3.46,+14.838, +9.310,+0.991
1653623940,+3.46,+14.829, +9.311,+0.990
1653624240,+3.46,+14.820, +9.313,+0.991
1653624540,+3.46,+14.794, +9.306,+0.990
1653624840,+3.46,+14.751, +9.307,+0.990
1653625140,+3.46,+14.691, +9.322,+0.991
1653625440,+3.46,+14.656, +9.327,+0.991
1653625740,+3.45,+14.648, +9.321,+0.991
1653626040,+3.45,+14.613, +9.335,+0.991
1653626340,+3.45,+14.639, +9.327,+0.991
1653626640,+3.45,+14.553, +9.329,+0.991
1653626940,+3.45,+14.466, +9.345,+0.991
1653627240,+3.45,+14.406, +9.347,+0.991
1653627540,+3.45,+14.354, +9.365,+0.991
1653627840,+3.45,+14.345, +9.363,+0.991
1653628140,+3.45,+14.354, +9.362,+0.991
1653628440,+3.45,+14.432, +9.335,+0.991
1653628740,+3.45,+14.423, +9.339,+0.991
1653629040,+3.45,+14.397, +9.347,+0.991
1653629340,+3.45,+14.362, +9.355,+0.991
1653629640,+3.45,+14.328, +9.351,+0.991
1653629940,+3.45,+14.259, +9.360,+0.991
1653630240,+3.45,+14.181, +9.371,+0.991
1653630540,+3.45,+14.172, +9.377,+0.991
1653630840,+3.45,+14.146, +9.371,+0.991
1653631140,+3.45,+14.102, +9.389,+0.991
1653631440,+3.45,+14.094, +9.376,+0.991
1653631740,+3.45,+14.033, +9.389,+0.991
1653632040,+3.45,+13.963, +9.389,+0.991
1653632340,+3.45,+13.903, +9.425,+0.992
1653632640,+3.45,+13.885, +9.416,+0.991
1653632940,+3.45,+13.885, +9.415,+0.992
1653633240,+3.45,+13.920, +9.399,+0.991
1653633540,+3.45,+13.859, +9.399,+0.991
1653633840,+3.46,+13.816, +9.405,+0.991
1653634140,+3.46,+13.781, +9.417,+0.991
1653634440,+3.46,+13.755, +9.419,+0.991
1653634740,+3.46,+13.746, +9.420,+0.991
1653635040,+3.46,+13.737, +9.417,+0.991
1653635340,+3.46,+13.702, +9.420,+0.991
1653635640,+3.46,+13.668, +9.427,+0.991
1653635940,+3.46,+13.659, +9.428,+0.992
1653636240,+3.46,+13.606, +9.432,+0.991
1653636540,+3.46,+13.572, +9.437,+0.991
1653636840,+3.45,+13.563, +9.436,+0.991
1653637140,+3.45,+13.519, +9.434,+0.991
1653637440,+3.45,+13.484, +9.440,+0.991
1653637740,+3.45,+13.458, +9.431,+0.991
1653638040,+3.45,+13.414, +9.461,+0.992
1653638340,+3.45,+13.406, +9.455,+0.992
1653638640,+3.45,+13.371, +9.454,+0.991
1653638940,+3.45,+13.353, +9.463,+0.991
1653639240,+3.45,+13.327, +9.461,+0.991
1653639540,+3.45,+13.292, +9.469,+0.991
1653639840,+3.45,+13.309, +9.464,+0.991
1653640140,+3.45,+13.318, +9.467,+0.991
1653640440,+3.45,+13.318, +9.476,+0.992
1653640740,+3.45,+13.274, +9.464,+0.991
1653641040,+3.45,+13.257, +9.466,+0.991
1653641340,+3.45,+13.257, +9.467,+0.991
1653641640,+3.45,+13.248, +9.465,+0.991
1653641940,+3.45,+13.266, +9.461,+0.991
1653642240,+3.45,+13.248, +9.469,+0.991
1653642540,+3.45,+13.222, +9.479,+0.992
1653642840,+3.45,+13.178, +9.486,+0.991
1653643140,+3.45,+13.187, +9.483,+0.991
1653643440,+3.45,+13.160, +9.482,+0.991
1653643740,+3.45,+13.134, +9.499,+0.992
1653644040,+3.45,+13.125, +9.493,+0.992
1653644340,+3.45,+13.099, +9.495,+0.991
1653644640,+3.45,+13.081, +9.499,+0.992
1653644940,+3.45,+13.038, +9.513,+0.992
1653645240,+3.45,+13.020, +9.516,+0.992
1653645540,+3.45,+13.002, +9.508,+0.991
1653645840,+3.45,+13.002, +9.506,+0.991
1653646140,+3.45,+12.985, +9.509,+0.991
1653646440,+3.45,+12.994, +9.505,+0.991
1653646740,+3.45,+12.976, +9.506,+0.992
1653647040,+3.45,+12.967, +9.507,+0.992
1653647340,+3.45,+12.941, +9.517,+0.992
1653647640,+3.45,+12.915, +9.511,+0.991
1653647940,+3.45,+12.915, +9.511,+0.992
1653648240,+3.45,+12.897, +9.511,+0.992
1653648540,+3.45,+12.853, +9.511,+0.991
1653648840,+3.45,+12.853, +9.525,+0.992
1653649140,+3.45,+12.827, +9.525,+0.992
1653649440,+3.45,+12.818, +9.508,+0.991
1653649740,+3.45,+12.791, +9.521,+0.992
1653650040,+3.45,+12.650, +9.530,+0.991
1653650340,+3.45,+12.686, +9.538,+0.992
1653650640,+3.45,+12.650, +9.551,+0.992
1653650940,+3.45,+12.553, +9.554,+0.992
1653651240,+3.45,+12.500, +9.572,+0.992
1653651540,+3.45,+12.553, +9.571,+0.992
1653651840,+3.45,+12.465, +9.577,+0.992
1653652140,+3.45,+12.483, +9.584,+0.992
1653652440,+3.45,+12.474, +9.581,+0.992
1653652740,+3.45,+12.394, +9.589,+0.992
1653653040,+3.45,+12.368, +9.596,+0.992
1653653340,+3.45,+12.421, +9.589,+0.992
1653653640,+3.45,+12.412, +9.578,+0.992
1653653940,+3.45,+12.447, +9.573,+0.992
1653654240,+3.45,+12.447, +9.574,+0.992
1653654540,+3.45,+12.430, +9.573,+0.992
1653654840,+3.45,+12.430, +9.573,+0.992
1653655140,+3.45,+12.430, +9.567,+0.991
1653655440,+3.45,+12.447, +9.578,+0.992
1653655740,+3.45,+12.430, +9.581,+0.992
1653656040,+3.45,+12.421, +9.567,+0.992
1653656340,+3.45,+12.368, +9.591,+0.992
1653656640,+3.45,+12.359, +9.595,+0.992
1653656940,+3.45,+12.403, +9.579,+0.992
1653657240,+3.45,+12.456, +9.566,+0.992
